,name,place,state,payrate,ex pay,housing,ex housing,taxes,job offer,living cost
0,The Ritz-Carlton,Lake Tahoe,ca,"Entre USD 15,00 + tips a USD 20,00 por hora",20.0,"['USD 140,00 por pessoa, por semana']",140.0,18.82,,400
1,Sugar Bowl Resort,Norden,ca,"[15.0, 20.0]",16.25,['Não é oferecida pelo empregador. O participante será responsável por conseguir sua acomodação.'],,18.82,,400
2,Resort at Squaw Creek,Olympic Valley,ca,"[16.0, 21.0]",17.25,"['USD 725,00 por pessoa, por mês']",181.25,18.82,,400
3,Homewood Mountain Resort,Homewood,ca,15.0,15.0,"['USD 425,00 por pessoa, por mês. Mais detalhes na Job Description']",106.25,18.82,,400
4,Bear Valley Resort,Bear Valley,ca,15.0,15.0,"['USD 500,00 por pessoa, por mês.']",125.0,18.82,,400
5,Mammoth Mountain Resorts,Mammoth Lakes,ca,12.0,12.0,"['USD 215.00 por pessoa por semana + USD 500,00 de depósito caução']",500.0,18.82,,400
6,June Mountain – Mammoth Resorts,June Lake,ca,14.0,14.0,,,18.82,,400
7,Tahoe Donner,Lake Tahoe,ca,15.0,15.0,['USD 500 por pessoa por mês'],125.0,18.82,,400
8,Rustico Ristorante,Telluride,co,"Entre USD 9,56 + tips a USD 12,54 por hora",12.54,"['USD 500,00 por pessoa, por mês.']",125.0,17.78,,400
9,Shop Ski Country,diversas cidades,co,21.0,21.0,,,17.78,,400
10,Venga Venga,Snowmass Village,co,"USD 13,00 + tips por hora",13.0,['Não é oferecida pelo empregador. O participante será responsável por conseguir sua acomodação.'],,17.78,,400
11,Winter Park Resort,Winter Park,co,19.0,19.0,"['USD 215,00 a USD 230,00 por pessoa, a cada duas semanas.']",230.0,17.78,,400
12,YMCA of the Rockies – Snow Mountain Ranch,Granby,co,12.56,12.56,"['USD 200,00 por pessoa, por semana. Inclui 3 refeições por dia.']",200.0,17.78,,400
13,Winter Park Mountain Lodge,Winter Park,co,"[13.5, 16.5]",14.25,"['USD 250,00 e USD 500,00 por pessoa, por mês, dependendo da ocupação.']",125.0,17.78,,400
14,Viewline Resort Snowmass,Snowmass,co,"Entre USD 9,54 + tips  a USD 16,00 + tips por hora",16.0,"['USD 280,00 por pessoa, a cada duas semanas.']",280.0,17.78,,400
15,Granby Ranch,Granby,co,"[14.0, 17.0]",14.75,"['USD 475,00 a USD 675,00 por mês, por pessoa, dependendo da acomodação.']",168.75,17.78,,400
16,The Ritz-Carlton Club,Vail,co,"[16.5, 18.25]",16.9375,"['Não é oferecida pelo empregador, porém ele ajuda na procura.']",,17.78,,400
17,Safeway Steamboat Springs,Steamboat Springs,co,16.0,16.0,"['USD 125,00 por pessoa, por semana']",125.0,17.78,,400
