,nome,local,estado,payrate,housing
0,The Ritz-Carlton,Lake Tahoe ,ca,"Entre USD 15,00 + tips a USD 20,00 por hora","USD 140,00 por pessoa, por semana"
1,Sugar Bowl Resort,Norden ,ca,"['15,00', '20,00']",Não é oferecida pelo empregador. O participante será responsável por conseguir sua acomodação.
2,Resort at Squaw Creek,Olympic Valley ,ca,"['16,00', '21,00']","USD 725,00 por pessoa, por mês"
3,Homewood Mountain Resort,Homewood ,ca,"['15,00']","USD 425,00 por pessoa, por mês. Mais detalhes na Job Description"
4,Bear Valley Resort,Bear Valley ,ca,"['15,00']","USD 500,00 por pessoa, por mês."
5,Mammoth Mountain Resorts,Mammoth Lakes ,ca,"['12,00']","USD 215.00 por pessoa por semana + USD 500,00 de depósito caução"
6,June Mountain – Mammoth Resorts,June Lake ,ca,"['14,00']",
7,Tahoe Donner,Lake Tahoe ,ca,['15'],USD 500 por pessoa por mês
8,Rustico Ristorante,Telluride ,co,"Entre USD 9,56 + tips a USD 12,54 por hora","USD 500,00 por pessoa, por mês."
9,Shop Ski Country,diversas cidades ,co,"['21,00']",
10,Venga Venga,Snowmass Village ,co,"USD 13,00 + tips por hora",Não é oferecida pelo empregador. O participante será responsável por conseguir sua acomodação.
11,Winter Park Resort,Winter Park ,co,"['19,00']","USD 215,00 a USD 230,00 por pessoa, a cada duas semanas."
12,YMCA of the Rockies – Snow Mountain Ranch,Granby ,co,"['12,56']","USD 200,00 por pessoa, por semana. Inclui 3 refeições por dia."
13,Winter Park Mountain Lodge,Winter Park ,co,"['13,50', '16,50']","USD 250,00 e USD 500,00 por pessoa, por mês, dependendo da ocupação."
14,Viewline Resort Snowmass,Snowmass ,co,"Entre USD 9,54 + tips  a USD 16,00 + tips por hora","USD 280,00 por pessoa, a cada duas semanas."
15,Granby Ranch,Granby ,co,"['14,00', '17,00']","USD 475,00 a USD 675,00 por mês, por pessoa, dependendo da acomodação."
16,The Ritz-Carlton Club,Vail ,co,"['16,50', '18,25']","Não é oferecida pelo empregador, porém ele ajuda na procura."
17,Safeway Steamboat Springs,Steamboat Springs ,co,"['16,00']","USD 125,00 por pessoa, por semana"
18,Safeway Fraser,Fraser ,co,"['16,00']","USD 100,00 por pessoa, por semana."
19,Grand Hyatt Vail,Vail ,co,"['9.54', '17']",USD 500 e USD 800 por mês
20,Venture Sports,Vail ,co,"['17,00']",
21,YMCA of the Rockies – Estes Park,Estes Park ,co,"['12,56']","USD 200,00 por pessoa, por semana. Inclui 3 refeições por dia."
22,Aspen Snowmass,Aspen ,co,"['20,00']",
23,The Paradise Inn,Key West ,fl,"['16,00', '18,00']","USD 500,00 por pessoa, por mês"
24,Compass Hotel Anna Maria Sound,Bradenton ,fl,"['12,00']",
25,Marlin Bay Resort and Marina,Marathon ,fl,"['16,00']",0
26,Colorvision – Universal Orlando Resort,Orlando ,fl,"['14,00']",Não é oferecida pelo empregador. O participante será responsável por conseguir sua acomodação.
27,Dairy Queen,Várias Cidades ,ga,"['9,00']",0
28,McDonalds,Eleele ,hi,"['15,00']",Não é oferecida pelo empregador.
29,McDonalds,Lahaina ,hi,"['15,00']","USD 450,00 por pessoa, por mês."
30,North Shore Tacos,Hauula - Hi Pipeline ,hi,USD 12 por hora + tips,"USD 600,00 por mês + utilities"
31,Sun Valley Resort,Sun Valley ,id,"['13,00', '16,00']","USD 70,00 por pessoa, por semana. Mais detalhes na Job Description"
